match_date,team,opponent,team_score,opponent_score,tournament,elo_change,new_elo,rank_change,new_rank,group
2026-06-11,Czechia,South Korea,1,2,World Cup,-28,1712,-7,42,A
2026-06-11,Mexico,South Africa,2,0,World Cup,6,1881,0,18,A
2026-06-11,South Africa,Mexico,0,2,World Cup,-6,1511,0,80,A
2026-06-11,South Korea,Czechia,2,1,World Cup,28,1786,7,26,A
2026-06-12,Bosnia and Herzegovina,Canada,1,1,World Cup,21,1616,4,61,B
2026-06-12,Canada,Bosnia and Herzegovina,1,1,World Cup,-21,1767,-6,31,B
2026-06-12,Paraguay,USA,1,4,World Cup,-54,1780,-4,26,D
2026-06-12,USA,Paraguay,4,1,World Cup,54,1780,11,27,D
2026-06-13,Australia,Turkey,2,0,World Cup,62,1839,6,23,D
2026-06-13,Brazil,Morocco,1,1,World Cup,-13,1978,-2,7,C
2026-06-13,Haiti,Scotland,0,1,World Cup,-12,1536,-2,75,C
2026-06-13,Morocco,Brazil,1,1,World Cup,13,1840,1,22,C
2026-06-13,Qatar,Switzerland,1,1,World Cup,26,1447,6,90,B
2026-06-13,Scotland,Haiti,1,0,World Cup,12,1794,1,24,C
2026-06-13,Switzerland,Qatar,1,1,World Cup,-26,1865,-3,20,B
2026-06-13,Turkey,Australia,0,2,World Cup,-62,1849,-8,21,D
2026-06-14,Curaçao,Germany,1,7,World Cup,-7,1427,-2,94,E
2026-06-14,Ecuador,Ivory Coast,0,1,World Cup,-48,1890,-5,15,E
2026-06-14,Germany,Curaçao,7,1,World Cup,7,1939,1,9,E
2026-06-14,Ivory Coast,Ecuador,1,0,World Cup,48,1743,12,37,E
2026-06-14,Japan,Netherlands,2,2,World Cup,4,1910,0,13,F
2026-06-14,Netherlands,Japan,2,2,World Cup,-4,1944,0,8,F
2026-06-14,Sweden,Tunisia,5,1,World Cup,43,1755,9,35,F
2026-06-14,Tunisia,Sweden,1,5,World Cup,-43,1585,-8,66,F
2026-06-15,Belgium,Egypt,1,1,World Cup,-15,1879,-3,16,G
2026-06-15,Cape Verde Islands,Spain,0,0,World Cup,28,1606,4,64,H
2026-06-15,Egypt,Belgium,1,1,World Cup,15,1711,4,45,G
2026-06-15,Iran,New Zealand,2,2,World Cup,-16,1756,-3,34,G
2026-06-15,New Zealand,Iran,2,2,World Cup,16,1578,2,70,G
2026-06-15,Saudi Arabia,Uruguay,1,1,World Cup,22,1598,3,66,H
2026-06-15,Spain,Cape Verde Islands,0,0,World Cup,-28,2129,0,1,H
2026-06-15,Uruguay,Saudi Arabia,1,1,World Cup,-22,1870,-4,17,H
2026-06-16,Algeria,Argentina,0,3,World Cup,-13,1759,-2,32,J
2026-06-16,Argentina,Algeria,3,0,World Cup,13,2128,0,2,J
2026-06-16,Austria,Jordan,3,1,World Cup,27,1857,4,20,J
2026-06-16,France,Senegal,3,1,World Cup,21,2084,0,3,I
2026-06-16,Iraq,Norway,1,4,World Cup,-15,1592,-3,66,I
2026-06-16,Jordan,Austria,1,3,World Cup,-27,1653,-2,54,J
2026-06-16,Norway,Iraq,4,1,World Cup,15,1929,0,10,I
2026-06-16,Senegal,France,1,3,World Cup,-21,1839,-2,22,I
2026-06-17,Colombia,Uzbekistan,3,1,World Cup,16,1998,0,5,K
2026-06-17,Croatia,England,2,4,World Cup,-31,1881,-2,13,L
2026-06-17,DR Congo,Portugal,1,1,World Cup,22,1674,3,52,K
2026-06-17,England,Croatia,4,2,World Cup,31,2055,0,4,L
2026-06-17,Ghana,Panama,1,0,World Cup,47,1557,8,73,L
2026-06-17,Panama,Ghana,0,1,World Cup,-47,1683,-11,51,L
2026-06-17,Portugal,DR Congo,1,1,World Cup,-22,1967,-2,7,K
2026-06-17,Uzbekistan,Colombia,1,3,World Cup,-16,1698,-6,48,K
2026-06-18,Bosnia and Herzegovina,Switzerland,1,4,World Cup,-20,1596,-5,65,B
2026-06-18,Canada,Qatar,6,0,World Cup,10,1777,0,30,B
2026-06-18,Czechia,South Africa,1,1,World Cup,-16,1696,-6,48,A
2026-06-18,Mexico,South Korea,1,0,World Cup,15,1896,3,12,A
2026-06-18,Qatar,Canada,0,6,World Cup,-10,1437,-1,91,B
2026-06-18,South Africa,Czechia,1,1,World Cup,16,1527,3,78,A
2026-06-18,South Korea,Mexico,0,1,World Cup,-15,1771,-4,30,A
2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,World Cup,20,1885,6,13,B
2026-06-19,Australia,USA,0,2,World Cup,-40,1799,-1,25,D
2026-06-19,Brazil,Haiti,3,0,World Cup,8,1986,0,6,C
2026-06-19,Haiti,Brazil,0,3,World Cup,-8,1528,-1,77,C
2026-06-19,Morocco,Scotland,1,0,World Cup,26,1866,2,20,C
2026-06-19,Paraguay,Turkey,1,0,World Cup,36,1816,2,24,D
2026-06-19,Scotland,Morocco,0,1,World Cup,-26,1768,-4,30,C
2026-06-19,Turkey,Paraguay,0,1,World Cup,-36,1813,-3,25,D
2026-06-19,USA,Australia,2,0,World Cup,40,1820,3,24,D
2026-06-20,Curaçao,Ecuador,0,0,World Cup,26,1453,5,89,E
2026-06-20,Ecuador,Curaçao,0,0,World Cup,-26,1864,-7,20,E
2026-06-20,Germany,Ivory Coast,2,1,World Cup,15,1954,0,9,E
2026-06-20,Ivory Coast,Germany,1,2,World Cup,-15,1728,-1,38,E
2026-06-20,Japan,Tunisia,4,0,World Cup,15,1925,0,11,F
2026-06-20,Netherlands,Sweden,5,1,World Cup,28,1972,1,7,F
2026-06-20,Sweden,Netherlands,1,5,World Cup,-28,1727,-4,39,F
2026-06-20,Tunisia,Japan,0,4,World Cup,-15,1570,-3,71,F
2026-06-21,Belgium,Iran,0,0,World Cup,-10,1869,-2,17,G
2026-06-21,Cape Verde Islands,Uruguay,2,2,World Cup,19,1625,4,58,H
2026-06-21,Egypt,New Zealand,3,1,World Cup,29,1740,5,37,G
2026-06-21,Iran,Belgium,0,0,World Cup,10,1766,3,31,G
2026-06-21,New Zealand,Egypt,1,3,World Cup,-29,1549,-4,73,G
2026-06-21,Saudi Arabia,Spain,0,4,World Cup,-5,1593,-1,65,H
2026-06-21,Spain,Saudi Arabia,4,0,World Cup,5,2134,0,1,H
2026-06-21,Uruguay,Cape Verde Islands,2,2,World Cup,-19,1851,-5,21,H
2026-06-22,Algeria,Jordan,2,1,World Cup,21,1780,6,27,J
2026-06-22,Argentina,Austria,2,0,World Cup,16,2144,1,1,J
2026-06-22,Austria,Argentina,0,2,World Cup,-16,1841,-1,21,J
2026-06-22,France,Iraq,3,0,World Cup,6,2090,0,3,I
2026-06-22,Iraq,France,0,3,World Cup,-6,1586,-1,67,I
2026-06-22,Jordan,Algeria,1,2,World Cup,-21,1632,-2,57,J
2026-06-22,Norway,Senegal,3,2,World Cup,22,1951,0,10,I
2026-06-22,Senegal,Norway,2,3,World Cup,-22,1817,-1,23,I
2026-06-23,Colombia,DR Congo,1,0,World Cup,8,2006,0,5,K
2026-06-23,Croatia,Panama,1,0,World Cup,15,1896,2,12,L
2026-06-23,DR Congo,Colombia,0,1,World Cup,-8,1666,-2,53,K
2026-06-23,England,Ghana,0,0,World Cup,-27,2028,0,4,L
2026-06-23,Ghana,England,0,0,World Cup,27,1584,4,68,L
2026-06-23,Panama,Croatia,0,1,World Cup,-15,1668,-3,53,L
2026-06-23,Portugal,Uzbekistan,5,0,World Cup,21,1988,2,6,K
2026-06-23,Uzbekistan,Portugal,0,5,World Cup,-21,1677,-4,51,K
2026-06-24,Bosnia and Herzegovina,Qatar,3,1,World Cup,26,1622,4,60,B
2026-06-24,Brazil,Scotland,3,0,World Cup,23,2009,2,5,C
2026-06-24,Canada,Switzerland,1,2,World Cup,-29,1748,-6,35,B
2026-06-24,Czechia,Mexico,0,3,World Cup,-16,1680,-2,49,A
2026-06-24,Haiti,Morocco,2,4,World Cup,-11,1517,-3,80,C
2026-06-24,Mexico,Czechia,3,0,World Cup,16,1912,1,13,A
2026-06-24,Morocco,Haiti,4,2,World Cup,11,1877,3,15,C
2026-06-24,Qatar,Bosnia and Herzegovina,1,3,World Cup,-26,1411,-13,105,B
2026-06-24,Scotland,Brazil,0,3,World Cup,-23,1745,-5,35,C
2026-06-24,South Africa,South Korea,1,0,World Cup,48,1575,7,70,A
2026-06-24,South Korea,South Africa,0,1,World Cup,-48,1723,-11,40,A
2026-06-24,Switzerland,Canada,2,1,World Cup,29,1914,2,12,B
2026-06-25,Australia,Paraguay,0,0,World Cup,1,1800,0,25,D
2026-06-25,Curaçao,Ivory Coast,0,2,World Cup,-15,1438,-2,91,E
2026-06-25,Ecuador,Germany,2,1,World Cup,38,1902,5,14,E
2026-06-25,Germany,Ecuador,1,2,World Cup,-38,1916,-2,11,E
2026-06-25,Ivory Coast,Curaçao,2,0,World Cup,15,1743,2,36,E
2026-06-25,Japan,Sweden,1,1,World Cup,-15,1910,-3,13,F
2026-06-25,Netherlands,Tunisia,3,1,World Cup,8,1980,0,8,F
2026-06-25,Paraguay,Australia,0,0,World Cup,-1,1815,0,24,D
2026-06-25,Sweden,Japan,1,1,World Cup,15,1742,2,37,F
2026-06-25,Tunisia,Netherlands,1,3,World Cup,-8,1562,-1,73,F
2026-06-25,Turkey,USA,3,2,World Cup,39,1852,5,20,D
2026-06-25,USA,Turkey,2,3,World Cup,-39,1781,-4,26,D
2026-06-26,Belgium,New Zealand,5,1,World Cup,15,1884,2,16,G
2026-06-26,Cape Verde Islands,Saudi Arabia,0,0,World Cup,-3,1622,-2,60,H
2026-06-26,Egypt,Iran,1,1,World Cup,2,1742,0,38,G
2026-06-26,France,Norway,4,1,World Cup,33,2123,0,3,I
2026-06-26,Iran,Egypt,1,1,World Cup,-2,1764,-1,30,G
2026-06-26,Iraq,Senegal,0,5,World Cup,-25,1561,-6,73,I
2026-06-26,New Zealand,Belgium,1,5,World Cup,-15,1534,-2,76,G
2026-06-26,Norway,France,1,4,World Cup,-33,1918,0,9,I
2026-06-26,Saudi Arabia,Cape Verde Islands,0,0,World Cup,3,1596,0,65,H
2026-06-26,Senegal,Iraq,5,0,World Cup,25,1842,1,22,I
2026-06-26,Spain,Uruguay,1,0,World Cup,10,2144,1,1,H
2026-06-26,Uruguay,Spain,0,1,World Cup,-10,1841,-1,22,H
2026-06-27,Algeria,Austria,3,3,World Cup,5,1785,1,26,J
2026-06-27,Austria,Algeria,3,3,World Cup,-5,1836,0,23,J
2026-06-27,Colombia,Portugal,0,0,World Cup,-2,2004,0,6,K
2026-06-27,Croatia,Ghana,2,1,World Cup,9,1905,1,14,L
2026-06-27,DR Congo,Uzbekistan,3,1,World Cup,46,1712,9,43,K
2026-06-27,England,Panama,2,0,World Cup,10,2038,0,4,L
2026-06-27,Ghana,Croatia,1,2,World Cup,-9,1575,-2,69,L
2026-06-27,Panama,England,0,2,World Cup,-10,1658,-2,54,L
2026-06-27,Portugal,Colombia,0,0,World Cup,2,1990,0,7,K
2026-06-27,Uzbekistan,DR Congo,1,3,World Cup,-46,1631,-7,57,K
2026-06-28,Argentina,Jordan,3,1,World Cup,4,2148,1,1,J
2026-06-28,Canada,South Africa,1,0,World Cup,16,1764,3,30,B
2026-06-28,Jordan,Argentina,1,3,World Cup,-4,1628,-1,57,J
2026-06-28,South Africa,Canada,0,1,World Cup,-16,1559,-5,73,A
2026-06-29,Brazil,Japan,2,1,World Cup,22,2031,0,5,C
2026-06-29,Germany,Paraguay,4,5,World Cup,-38,1878,-6,16,E
2026-06-29,Japan,Brazil,1,2,World Cup,-22,1888,-2,15,F
2026-06-29,Paraguay,Germany,5,4,World Cup,38,1853,4,20,D
